"Artist","SongTitle","AlbumTitle","SongYear"
"Megadeath","Bad Omen","Peace sells","1985"
"Megadeath","Devil's Island","Peace sells","1985"
"Megadeath","Good Mourning/Black Friday","Peace sells","1985"
"Megadeath","I Ain't Superstitious","Peace sells","1985"
"Megadeath","My Last Words","Peace sells","1985"
"Megadeath","Peace Sells","Peace sells","1985"
"Megadeath","The Conjuring","Peace sells","1985"
"Megadeath","Wake Up Dead","Peace sells","1985"
"Iron Maiden","Chains of Misery","Fear of the Dark","1992"
"Iron Maiden","Fear of the Dark","Fear of the Dark Tour","1992"
"Iron Maiden","Wasting Love","Fear of the Dark Live","1992"
"Iron Maiden","Weekend Warrior","Fear of the Dark","1992"
"Silverchair","Cicada","Frogstomp","1995"
"Silverchair","Faultline","Frogstomp","1995"
"Silverchair","Findaway","Frogstomp","1995"
"Silverchair","Israel's song","Frogstomp","1995"
"Silverchair","Leave me out","Frogstomp","1995"
"Silverchair","Madman","Frogstompr","1995"
"Silverchair","Pure massacre","Frogstomp","1995"
"Silverchair","Shade","Frogstomp","1995"
"Silverchair","Suicidal dream","Frogstomp","1995"
"Silverchair","Tomorrow","Frogstomp","1995"
"Silverchair","Undecided","Frogstomp","1995"
